"station_id","station_name","latitude","longitude","elevation","tz"
40429,"KNEELAND",40.71994,-123.92829,2737,"America/Los_Angeles"
313902,"CHEROKEE",35.61978,-83.20711,3400,"America/New_York"
168541,"BIG BRANCH NWR",30.32167,-89.93528,11,"America/Chicago"
227701,"BOGUE CHITTO",30.66194,-89.79556,126,"America/Chicago"
227001,"PIKE",31.18694,-90.47806,366,"America/Chicago"
16703,"BONSECOUR",30.25278,-87.8125,20,"America/Chicago"
40106,"CRAZY PEAK",41.97639,-123.61222,3970,"America/Los_Angeles"
380102,"ANDREW PICKENS",34.80847,-83.12761,1669,"America/New_York"
40629,"WHISKEYTOWN HQ#2",40.61051,-122.52731,1360,"America/Los_Angeles"
40801,"COLBY MOUNTAIN",40.14564,-121.5225,6004,"America/Los_Angeles"
353047,"DEVILS GRAVEYARD",43.72008,-123.62958,1550,"America/Los_Angeles"
41806,"WHITE CLOUD",39.31944,-120.84211,4302,"America/Los_Angeles"
353115,"ILLINOIS VALLEY AIRPORT",42.10375,-123.68508,1389,"America/Los_Angeles"
496034,"LOWER KAHUKU CS",19.10075,-155.66961,3129,"Pacific/Honolulu"
42614,"ROBBS",38.92367,-120.40412,5653,"America/Los_Angeles"
351814,"GELLATLY",44.60778,-123.475,860,"America/Los_Angeles"
407603,"INDIAN GRAVE",35.62392,-83.81431,2700,"America/New_York"
227601,"GREENE",31.13694,-88.59972,156,"America/Chicago"
227202,"MARION",31.21139,-89.9225,380,"America/Chicago"
226102,"BUDE",31.41056,-90.84667,447,"America/Chicago"
42611,"OWENS CAMP",38.73582,-120.24158,5240,"America/Los_Angeles"
43612,"WWOLF",37.85942,-119.65167,8038,"America/Los_Angeles"
409201,"PRENTICE COOPER SF",35.13028,-85.42778,1920,"America/Chicago"
16301,"DIXON",31.16181,-86.70325,321,"America/Chicago"
313402,"BUSICK",35.74479,-82.215,3058,"America/New_York"
15902,"OPNPND",31.09444,-86.54861,275,"America/Chicago"
91301,"CHATTOOGA",34.64028,-83.52194,1500,"America/New_York"
319602,"CROATAN",34.76056,-76.89556,69,"America/New_York"
227401,"RAGLAND HILLS",31.2042,-89.17833,285,"America/Chicago"
40508,"RUTH",40.25074,-123.3198,2732,"America/Los_Angeles"
40402,"BIG HILL",41.09747,-123.63589,3570,"America/Los_Angeles"
226702,"WAUSAU",31.53035,-88.89237,316,"America/Chicago"
431303,"WOODFORD STATE PARK",42.89142,-73.0393,2317,"America/New_York"
41019,"LAYTONVILLE",39.70233,-123.48491,1820,"America/Los_Angeles"
40614,"SUGARLOAF (SHF)",40.91596,-122.43483,3259,"America/Los_Angeles"
409502,"OCOEE",35.15583,-84.59472,1322,"America/New_York"
90402,"COHUTTA",34.9225,-84.65944,1724,"America/New_York"
315501,"CHEOAH",35.33667,-83.825,2000,"America/New_York"
82201,"SANBORN",30.07028,-84.59222,35,"America/New_York"
352547,"VILLAGE CREEK",44.25239,-123.46386,1565,"America/Los_Angeles"
165103,"LACASSINE",30.00167,-92.89333,5,"America/Chicago"
462601,"DAVIS (BEARDEN)",39.105,-79.42611,3853,"America/New_York"
414501,"KIRBYVILLE, TX",30.63306,-93.82861,118,"America/Chicago"
43809,"BEN LOMOND",37.13094,-122.17261,2598,"America/Los_Angeles"
41213,"CARPENTER RIDGE",40.06866,-121.584,4816,"America/Los_Angeles"
162302,"VERNON",31.02828,-93.1845,350,"America/Chicago"
10702,"BANKHEAD",34.34417,-87.3375,970,"America/Chicago"
82002,"SUMATRA",30.02056,-84.98611,27,"America/New_York"
419901,"MCFADDIN",29.70722,-94.12111,5,"America/Chicago"
162303,"DOVE FIELD",31.03694,-92.98644,267,"America/Chicago"
